check,observed,expected_or_threshold,passed
fifa_squad_rows,831,831,True
fifa_teams,32,32,True
big5_games,1826,1826,True
big5_panel_unique_rows,76884,76884,True
wc_matches,64,64,True
wc_players,833,informational,True
wc_minutes_nonnegative,3244,3244,True
wc_minutes_within_match,3244,3244,True
wc_exactly_11_starters_per_team,128,128,True
understat_games,1826,1826,True
understat_shots,45853,45853,True
understat_games_linked,1826,1826,True
fifa_big5_linked_players,417,informational,True
fifa_statsbomb_accepted,829,831,True
fifa_statsbomb_operational_id_only_if_accepted,2,2,True
fifa_statsbomb_accepted_id_one_to_one,829,829,True
understat_tm_accepted,2239,2445,True
