file,unit_of_observation,column,dtype,description
roster_spells.csv,jogador + clube + vínculo,transfermarkt_player_id,int64,Identificador do jogador no Transfermarkt.
roster_spells.csv,jogador + clube + vínculo,club_id,int64,Identificador do clube no Transfermarkt.
roster_spells.csv,jogador + clube + vínculo,player_name,str,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,club_name,str,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,competition_id,str,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,league_name,str,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,date_of_birth,datetime64[us],Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,broad_position,str,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,sub_position,str,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,country_of_citizenship,str,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,foot,str,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,height_in_cm,float64,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,is_goalkeeper,bool,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,first_observed,datetime64[us],Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,last_observed,datetime64[us],Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,spell_start,datetime64[us],Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,spell_end,datetime64[us],Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,start_source,str,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,end_source,str,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
roster_spells.csv,jogador + clube + vínculo,january_transfer,int64,Indicador de transferência em janeiro de 2023.
roster_spells.csv,jogador + clube + vínculo,spell_valid,int64,Campo preservado ou derivado pelo pipeline; consulte o script para a regra exata.
analytic_player_match.csv,jogador + partida,transfermarkt_player_id,int64,Identificador do jogador no Transfermarkt.
