file,unit_of_observation,column,dtype,description
analysis_sample_baseline_only.csv,jogador,transfermarkt_player_id,int64,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,baseline_club_id,int64,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,last_pre_observed,datetime64[us],Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,first_pre_observed,datetime64[us],Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,pre_source_minutes,int64,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,pre_source_games,int64,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,player_name,str,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,baseline_club_name,str,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,competition_id,str,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,league_name,str,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,date_of_birth,str,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,broad_position,str,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,sub_position,str,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,country_of_citizenship,str,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,foot,str,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,height_in_cm,float64,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,is_goalkeeper,bool,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,first_observed,datetime64[us],Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,last_observed,datetime64[us],Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,spell_start,datetime64[us],Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,spell_end,datetime64[us],Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,start_source,str,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,end_source,str,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,january_transfer,int64,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,spell_valid,int64,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,active_by_spell_at_cutoff,int8,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,baseline_club_candidate_count,int64,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,active_spell_candidate_count,int8,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
analysis_sample_baseline_only.csv,jogador,baseline_club_assignment_source,str,Campo de fonte ou derivado; regra reproduzível em build_design_phase.py.
