outcome,method,n_players,n_treated,n_controls,n_clubs,alpha,target_power,cluster_se_under_null,analytic_mde_80,baseline_treated_mean,mde_share_of_baseline,effect_label,effect_multiplier,simulated_effect,simulated_power,simulations,uses_post_treatment_outcomes
minutes_share,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.021630673181599187,0.06060017424340088,0.7002919320594481,0.086535588187037,0x_mde,0.0,0.0,0.0625,2000,0
minutes_share,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.021630673181599187,0.06060017424340088,0.7002919320594481,0.086535588187037,0.5x_mde,0.5,0.03030008712170044,0.3105,2000,0
minutes_share,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.021630673181599187,0.06060017424340088,0.7002919320594481,0.086535588187037,1x_mde,1.0,0.06060017424340088,0.802,2000,0
minutes_share,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.021630673181599187,0.06060017424340088,0.7002919320594481,0.086535588187037,1.5x_mde,1.5,0.09090026136510132,0.99,2000,0
minutes_share,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.021630673181599187,0.06060017424340088,0.7002919320594481,0.086535588187037,primary_sesoi,,0.05,0.625,2000,0
in_match_squad,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.01729234790147639,0.04844598626724305,0.9307324840764332,0.05205146172083599,0x_mde,0.0,0.0,0.0635,2000,0
in_match_squad,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.01729234790147639,0.04844598626724305,0.9307324840764332,0.05205146172083599,0.5x_mde,0.5,0.024222993133621525,0.3075,2000,0
in_match_squad,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.01729234790147639,0.04844598626724305,0.9307324840764332,0.05205146172083599,1x_mde,1.0,0.04844598626724305,0.8,2000,0
in_match_squad,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.01729234790147639,0.04844598626724305,0.9307324840764332,0.05205146172083599,1.5x_mde,1.5,0.07266897940086457,0.99,2000,0
played,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.020886683971884076,0.05851582507102748,0.8805732484076433,0.06645196771176358,0x_mde,0.0,0.0,0.052,2000,0
played,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.020886683971884076,0.05851582507102748,0.8805732484076433,0.06645196771176358,0.5x_mde,0.5,0.02925791253551374,0.288,2000,0
played,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.020886683971884076,0.05851582507102748,0.8805732484076433,0.06645196771176358,1x_mde,1.0,0.05851582507102748,0.8195,2000,0
played,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.020886683971884076,0.05851582507102748,0.8805732484076433,0.06645196771176358,1.5x_mde,1.5,0.08777373760654122,0.99,2000,0
started,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.026448440228089825,0.07409755918516082,0.7173566878980892,0.10329249093958047,0x_mde,0.0,0.0,0.0515,2000,0
started,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.026448440228089825,0.07409755918516082,0.7173566878980892,0.10329249093958047,0.5x_mde,0.5,0.03704877959258041,0.308,2000,0
started,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.026448440228089825,0.07409755918516082,0.7173566878980892,0.10329249093958047,1x_mde,1.0,0.07409755918516082,0.7905,2000,0
started,pre_period_wild_cluster_simulation,1015,314,701,98,0.05,0.8,0.026448440228089825,0.07409755918516082,0.7173566878980892,0.10329249093958047,1.5x_mde,1.5,0.11114633877774124,0.9905,2000,0
npxg_xa_per_club_match,pre_period_wild_cluster_simulation,977,310,667,98,0.05,0.8,0.014493113421894048,0.04060369232721302,0.2139307397121052,0.18979830753567703,0x_mde,0.0,0.0,0.068,2000,0
npxg_xa_per_club_match,pre_period_wild_cluster_simulation,977,310,667,98,0.05,0.8,0.014493113421894048,0.04060369232721302,0.2139307397121052,0.18979830753567703,0.5x_mde,0.5,0.02030184616360651,0.2825,2000,0
npxg_xa_per_club_match,pre_period_wild_cluster_simulation,977,310,667,98,0.05,0.8,0.014493113421894048,0.04060369232721302,0.2139307397121052,0.18979830753567703,1x_mde,1.0,0.04060369232721302,0.8015,2000,0
npxg_xa_per_club_match,pre_period_wild_cluster_simulation,977,310,667,98,0.05,0.8,0.014493113421894048,0.04060369232721302,0.2139307397121052,0.18979830753567703,1.5x_mde,1.5,0.060905538490819526,0.992,2000,0
