Outcome,Janela,Estimativa,IC 95%,p,p Holm agudo
Proporção de minutos,Aguda (jogos 1-4),0.023,[-0.026; 0.073],0.355,1.000
Proporção de minutos,Consolidada (jogos 5-8),0.083,[0.030; 0.137],0.002,-
Na súmula,Aguda (jogos 1-4),0.031,[-0.018; 0.080],0.221,1.000
Na súmula,Consolidada (jogos 5-8),0.052,[-0.003; 0.107],0.064,-
Jogou,Aguda (jogos 1-4),0.014,[-0.035; 0.064],0.571,1.000
Jogou,Consolidada (jogos 5-8),0.077,[0.022; 0.132],0.006,-
Titular,Aguda (jogos 1-4),0.009,[-0.047; 0.066],0.741,1.000
Titular,Consolidada (jogos 5-8),0.078,[0.018; 0.139],0.012,-
Minutos jogados,Aguda (jogos 1-4),2.096,[-2.343; 6.535],0.355,1.000
Minutos jogados,Consolidada (jogos 5-8),7.514,[2.705; 12.322],0.002,-
npxG+xA por jogo do clube,Aguda (jogos 1-4),0.013,[-0.015; 0.040],0.361,1.000
npxG+xA por jogo do clube,Consolidada (jogos 5-8),0.013,[-0.014; 0.039],0.344,-
