diagnostic_window,outcome,relative_club_match,reference_match,effect,standard_error,ci_lower,ci_upper,pooled_pre_sd,effect_sd,ci_lower_sd,ci_upper_sd,equivalence_margin,equivalence_passed,n_players,n_treated,n_controls,uses_post_treatment_outcomes
calibration_window,minutes_share,-8,-1,-8.620208713505662e-12,0.03954785918758639,-0.07751237968195099,0.07751237966471058,0.4148450249436434,-2.077934697343114e-11,-0.18684659335731707,0.1868465933157584,0.04148450249436434,False,1187,343,844,0
calibration_window,minutes_share,-7,-1,-9.159055458507481e-12,0.045177729492675574,-0.08854672271809616,0.08854672269977806,0.4148450249436434,-2.2078257922345188e-11,-0.21344530461736938,0.2134453045732129,0.04148450249436434,False,1187,343,844,0
calibration_window,minutes_share,-6,-1,-8.989822775085088e-13,0.03964639167388859,-0.07770549979868926,0.07770549979689129,0.4148450249436434,-2.1670315984400085e-12,-0.1873121168784549,0.1873121168741208,0.04148450249436434,False,1187,343,844,0
calibration_window,minutes_share,-5,-1,3.203853848887661e-12,0.04355540603007083,-0.08536702714775365,0.08536702715416136,0.4148450249436434,7.72301379128966e-12,-0.2057805252921877,0.20578052530763374,0.04148450249436434,False,1187,343,844,0
calibration_window,minutes_share,-4,-1,3.2214807210717566e-11,0.03788814947979501,-0.07425940838905337,0.074259408453483,0.4148450249436434,7.765504049396264e-11,-0.1790051800648724,0.17900518022018252,0.04148450249436434,False,1187,343,844,0
calibration_window,minutes_share,-3,-1,-6.979160305231602e-12,0.03432069580378672,-0.06726732770675609,0.06726732769279775,0.4148450249436434,-1.6823536225798344e-11,-0.16215049876973778,0.16215049873609066,0.04148450249436434,False,1187,343,844,0
calibration_window,minutes_share,-2,-1,6.311409728176898e-13,0.03547322630069097,-0.06952624596416215,0.06952624596542445,0.4148450249436434,1.5213897597143177e-12,-0.16759570871943633,0.16759570872247914,0.04148450249436434,False,1187,343,844,0
holdout_window,minutes_share,-14,-8,0.018939030794302217,0.040957908550624755,-0.061336994847007414,0.09921505643561185,0.4148450249436434,0.045653267257755065,-0.14785520172343886,0.23916173623894899,0.04148450249436434,False,1187,343,844,0
holdout_window,minutes_share,-13,-8,0.008742480645705849,0.035749974278907394,-0.06132618138918591,0.0788111426805976,0.4148450249436434,0.021074088201717044,-0.1478291354645438,0.1899773118679779,0.04148450249436434,False,1187,343,844,0
holdout_window,minutes_share,-12,-8,-0.00894649318609925,0.034045020508629294,-0.07567350723594016,0.05778052086374166,0.4148450249436434,-0.0215658683319503,-0.18241392010479188,0.1392821834408913,0.04148450249436434,False,1187,343,844,0
holdout_window,minutes_share,-11,-8,0.027141896270290008,0.03617225720682802,-0.043754425094612304,0.09803821763519233,0.4148450249436434,0.06542659219301769,-0.10547173634432842,0.23632492073036382,0.04148450249436434,False,1187,343,844,0
holdout_window,minutes_share,-10,-8,0.025317408073058455,0.0333508725039752,-0.04004910088772009,0.09068391703383699,0.4148450249436434,0.06102859272929167,-0.09653990883260744,0.21859709429119076,0.04148450249436434,False,1187,343,844,0
holdout_window,minutes_share,-9,-8,0.017205834699325927,0.0353065361780185,-0.05199370462845077,0.08640537402710263,0.4148450249436434,0.04147533094235211,-0.12533283877639392,0.20828350066109816,0.04148450249436434,False,1187,343,844,0
calibration_window,in_match_squad,-8,-1,-0.021593101583178353,0.03550148157965987,-0.09117472687712383,0.04798852371076712,0.302859146268233,-0.0712975052899806,-0.30104663504655454,0.15845162446659333,0.030285914626823302,False,1187,343,844,0
calibration_window,in_match_squad,-7,-1,-0.0218878075696846,0.0396218135400229,-0.09954513511029094,0.055769519970921735,0.302859146268233,-0.07227058465752671,-0.3286845926129861,0.18414342329793265,0.030285914626823302,False,1187,343,844,0
calibration_window,in_match_squad,-6,-1,-0.017165515636598867,0.040230034130864234,-0.09601493362990988,0.06168390235671216,0.302859146268233,-0.05667821443766436,-0.31702834407672936,0.20367191520140068,0.030285914626823302,False,1187,343,844,0
calibration_window,in_match_squad,-5,-1,-0.01139602708493459,0.032390888670511715,-0.07488100230638402,0.05208894813651484,0.302859146268233,-0.03762814240664035,-0.24724695697340512,0.17199067216012442,0.030285914626823302,False,1187,343,844,0
calibration_window,in_match_squad,-4,-1,-0.03497785922552103,0.031712238944107234,-0.0971327054250997,0.02717698697405764,0.302859146268233,-0.11549216742010565,-0.3207190755899188,0.08973474074970753,0.030285914626823302,False,1187,343,844,0
calibration_window,in_match_squad,-3,-1,-0.0575325154571007,0.034410481977984575,-0.12497582082461504,0.00991078991041365,0.302859146268233,-0.18996459630162835,-0.41265328244017374,0.03272408983691703,0.030285914626823302,False,1187,343,844,0
calibration_window,in_match_squad,-2,-1,-0.017430770767153887,0.034595554066404896,-0.08523681076251569,0.050375269228207904,0.302859146268233,-0.05755405105618303,-0.28144043794874885,0.16633233583638277,0.030285914626823302,False,1187,343,844,0
holdout_window,in_match_squad,-14,-8,-0.008484774827108174,0.0354304622589052,-0.077927204810168,0.060957655155951654,0.302859146268233,-0.028015580614473075,-0.25730510625276043,0.20127394502381427,0.030285914626823302,False,1187,343,844,0
holdout_window,in_match_squad,-13,-8,-0.014689131325297526,0.032935558307625235,-0.07924163941896195,0.04986337676836689,0.302859146268233,-0.04850152787622209,-0.2616451918172551,0.16464213606481093,0.030285914626823302,False,1187,343,844,0
holdout_window,in_match_squad,-12,-8,-0.006445932131624713,0.03450884135566054,-0.07408201833692574,0.06119015407367631,0.302859146268233,-0.021283597378682923,-0.24460881980864324,0.2020416250512774,0.030285914626823302,False,1187,343,844,0
holdout_window,in_match_squad,-11,-8,0.0007814530464046732,0.02696462932748728,-0.052068249291942884,0.05363115538475223,0.302859146268233,0.002580252424381347,-0.17192232737071655,0.17708283221947924,0.030285914626823302,False,1187,343,844,0
holdout_window,in_match_squad,-10,-8,0.01887605829069529,0.02609199750204303,-0.03226331709801809,0.07001543367940867,0.302859146268233,0.062326195273552494,-0.10652911591266083,0.23118150645976582,0.030285914626823302,False,1187,343,844,0
holdout_window,in_match_squad,-9,-8,-0.01603214995083421,0.025104625910266843,-0.06523631258030828,0.03317201267863987,0.302859146268233,-0.052935994003744,-0.21540149400847378,0.10952950600098581,0.030285914626823302,False,1187,343,844,0
calibration_window,played,-8,-1,0.01586751072629687,0.04450943655682915,-0.07136938189725872,0.10310440334985246,0.40382442606809654,0.03929309299289674,-0.17673369239240563,0.2553198783781991,0.040382442606809656,False,1187,343,844,0
calibration_window,played,-7,-1,0.010121063322403728,0.0479936286844915,-0.08394472038658804,0.1041868470313955,0.40382442606809654,0.02506302905188064,-0.20787430122523723,0.2580003593289985,0.040382442606809656,False,1187,343,844,0
calibration_window,played,-6,-1,0.0283110381447952,0.041362129410378035,-0.052757245823430665,0.10937932211302107,0.40382442606809654,0.07010729494609902,-0.13064401858280425,0.27085860847500226,0.040382442606809656,False,1187,343,844,0
calibration_window,played,-5,-1,0.019362119189604517,0.04006019516234229,-0.05915442054223206,0.0978786589214411,0.40382442606809654,0.04794687477953476,-0.14648549400094213,0.24237924356001167,0.040382442606809656,False,1187,343,844,0
calibration_window,played,-4,-1,-0.018786099886814664,0.03389610168430633,-0.08522123840436252,0.04764903863073319,0.40382442606809654,-0.04652046452397305,-0.2110353730558927,0.1179944440079466,0.040382442606809656,False,1187,343,844,0
calibration_window,played,-3,-1,-0.033759122112375084,0.0355932190522104,-0.10352054954855233,0.036002305323802164,0.40382442606809654,-0.0835985144362771,-0.2563503910758874,0.08915336220333321,0.040382442606809656,False,1187,343,844,0
calibration_window,played,-2,-1,-0.010309336945370583,0.038995164655622194,-0.08673845524159932,0.06611978135085816,0.40382442606809654,-0.025529255487958345,-0.21479249307958576,0.1637339821036691,0.040382442606809656,False,1187,343,844,0
holdout_window,played,-14,-8,-0.04314162801925271,0.044405593512521456,-0.1301749920159202,0.04389173597741479,0.40382442606809654,-0.1068326362506308,-0.322355418871985,0.10869014637072341,0.040382442606809656,False,1187,343,844,0
holdout_window,played,-13,-8,-0.008219619400367043,0.040171886382725154,-0.08695506990154335,0.07051583110080926,0.40382442606809654,-0.020354438388976936,-0.2153289010974294,0.17462002431947551,0.040382442606809656,False,1187,343,844,0
holdout_window,played,-12,-8,-0.026581667078265363,0.040202247911692766,-0.10537662508273377,0.05221329092620305,0.40382442606809654,-0.0658248123747297,-0.26094663492436737,0.12929701017490797,0.040382442606809656,False,1187,343,844,0
holdout_window,played,-11,-8,0.010092157172213598,0.03537816833991094,-0.05924777861300702,0.07943209295743421,0.40382442606809654,0.02499144806686797,-0.14671667880490252,0.19669957493863843,0.040382442606809656,False,1187,343,844,0
holdout_window,played,-10,-8,-0.01240241475922502,0.041367520470228895,-0.09348126501059707,0.06867643549214704,0.40382442606809654,-0.030712393700359306,-0.2314898727667192,0.1700650853660006,0.040382442606809656,False,1187,343,844,0
