specification,outcome,coefficient,estimate,standard_error_player,ci_lower,ci_upper,p_value,n_observations,n_players,n_club_games,fe_max_error,pre_start,weight_method
overlap,minutes_share,treated_x_acute,0.023291536099583253,0.02516463849345484,-0.026030249031558518,0.07261332123072503,0.3546715218743446,16240,1015,1568,6.106226635438361e-16,-8,analysis_weight
overlap,minutes_share,treated_x_consolidated,0.08348551877967521,0.02725962601835646,0.030057633551665554,0.13691340400768487,0.0021941808746950286,16240,1015,1568,6.106226635438361e-16,-8,analysis_weight
entropy_att,minutes_share,treated_x_acute,0.08805439929688223,0.029471450493832513,0.03029141775681532,0.14581738083694915,0.0028100586139374606,16240,1015,1568,4.440892098500626e-16,-8,entropy_att_weight
entropy_att,minutes_share,treated_x_consolidated,0.11082396736318989,0.030711053268751565,0.05063140902914572,0.17101652569723405,0.0003078515092851397,16240,1015,1568,4.440892098500626e-16,-8,entropy_att_weight
matching_1_to_3,minutes_share,treated_x_acute,0.030234107238048466,0.026585799367293234,-0.02187310202205403,0.08234131649815096,0.25544311365815053,10544,659,1504,3.608224830031759e-16,-8,matching_weight
matching_1_to_3,minutes_share,treated_x_consolidated,0.08529707144762001,0.02567460342655071,0.03497577341423196,0.13561836948100806,0.0008929938369675039,10544,659,1504,3.608224830031759e-16,-8,matching_weight
unweighted,minutes_share,treated_x_acute,0.0388527702764285,0.025140877671027063,-0.010422444498511776,0.08812798505136878,0.1222489833801621,16240,1015,1568,2.498001805406602e-16,-8,unweighted
unweighted,minutes_share,treated_x_consolidated,0.08297508213274979,0.026561466286301197,0.030915564835024584,0.135034599430475,0.0017847754926205717,16240,1015,1568,2.498001805406602e-16,-8,unweighted
overlap_truncated_95,minutes_share,treated_x_acute,0.024983460678057803,0.025150667805852314,-0.024310942408543756,0.07427786376465936,0.320538550956875,16240,1015,1568,5.551115123125783e-16,-8,overlap_truncated_95
overlap_truncated_95,minutes_share,treated_x_consolidated,0.08327221806189002,0.026869701425428532,0.030608570992705537,0.1359358651310745,0.0019410153291583576,16240,1015,1568,5.551115123125783e-16,-8,overlap_truncated_95
overlap_truncated_99,minutes_share,treated_x_acute,0.02453831773389512,0.02520227710876026,-0.024857237727673235,0.07393387319546348,0.3302279738917888,16240,1015,1568,6.106226635438361e-16,-8,overlap_truncated_99
overlap_truncated_99,minutes_share,treated_x_consolidated,0.08285144415438617,0.027057596717818846,0.029819529079252054,0.13588335922952027,0.002198340547362232,16240,1015,1568,6.106226635438361e-16,-8,overlap_truncated_99
same_nation_support,minutes_share,treated_x_acute,0.03392887710232221,0.02590509030248748,-0.01684416690681107,0.0847019211114555,0.19028453674540868,15808,988,1568,6.106226635438361e-16,-8,analysis_weight
same_nation_support,minutes_share,treated_x_consolidated,0.07615775721679167,0.02847470636420292,0.02034835827260048,0.13196715616098287,0.007482388543921692,15808,988,1568,6.106226635438361e-16,-8,analysis_weight
baseline_minutes_ge_360,minutes_share,treated_x_acute,0.06025379350536957,0.02850661465241593,0.00438185546547256,0.11612573154526659,0.03454281097709333,11728,733,1568,4.996003610813204e-16,-8,analysis_weight
baseline_minutes_ge_360,minutes_share,treated_x_consolidated,0.08667157937892628,0.029422125691997973,0.029005272673999632,0.14433788608385292,0.0032212480073843253,11728,733,1568,4.996003610813204e-16,-8,analysis_weight
