ridge,model_converged,calibration_converged,calibration_max_error,max_model_iterations,max_abs_smd,max_abs_smd_key,treated_ess,control_ess,treated_ess_fraction,control_ess_fraction,treated_support_fraction,max_normalized_weight,passes_selection_gates,selected
0.1,True,True,9.933436018183528e-11,9,1.0259257453131313e-10,9.158455556487428e-11,195.2513848205772,308.4620904022917,0.6218196968808191,0.4400315126994176,0.8821656050955414,6.288948713659159,False,False
0.2,True,True,3.3813160604800885e-12,8,3.545329370607571e-12,3.545329370607571e-12,197.14302527381838,316.81607596743675,0.6278440295344534,0.45194875316324784,0.89171974522293,6.2283535209931875,False,False
0.3,True,True,7.968598003671445e-12,8,8.34057715437381e-12,8.34057715437381e-12,198.27067778676866,322.9495654600916,0.6314352795756963,0.4606983815407869,0.8980891719745223,6.1891728965107635,False,False
0.4,True,True,1.3496689876824064e-11,8,1.4104162204075796e-11,1.4104162204075796e-11,199.00553678110396,327.830299362284,0.6337755948442801,0.4676609120717318,0.9076433121019108,6.159305250424046,False,False
0.45,True,True,1.6721055096091675e-11,8,1.7457164872149858e-11,1.7457164872149858e-11,199.28309180685247,329.94794634281254,0.6346595280473009,0.47068180648047436,0.9076433121019108,6.14708582498308,False,False
0.5,True,True,2.0340937267881998e-11,8,2.1213971208855242e-11,2.1213971208855242e-11,199.51911718495904,331.8982606994909,0.6354112012259843,0.4734639952917131,0.910828025477707,6.13633534132501,False,False
0.55,True,True,2.4446396296173845e-11,8,2.5466347411139934e-11,2.5466347411139934e-11,199.72295923913845,333.7065333078841,0.6360603797424791,0.47604355678728116,0.9140127388535032,6.126851387599243,False,False
0.6,True,True,2.910625213070617e-11,8,3.0284047060389924e-11,3.0284047060389924e-11,199.90162188987173,335.3925734258047,0.6366293690760246,0.47844874953752453,0.9140127388535032,6.118466319253316,False,False
0.7,True,True,4.036324746659048e-11,7,4.189200887061416e-11,4.189200887061416e-11,200.20337561547288,338.4582468110926,0.6375903682021429,0.4828220353938553,0.9171974522292994,6.104458127091453,False,False
0.8,True,True,7.44344204328673e-11,7,7.472328340366547e-11,7.3633839886736e-11,200.4536534262453,341.1901471012306,0.6383874312937748,0.48671918274069986,0.9203821656050956,6.093443807279044,False,False
1.0,True,True,2.373655647036621e-10,7,2.4719110093272926e-10,2.3489774967027804e-10,200.86351459988154,345.8969507551222,0.6396927216556737,0.49343359594168645,0.9235668789808917,6.078069914704997,False,False
1.2,True,True,5.900588628815484e-10,7,6.292593773132506e-10,5.842065759013947e-10,201.2066779692372,349.85444757679977,0.640785598628144,0.4990790978271038,0.9299363057324841,6.069035632616784,False,False
1.5,True,True,1.33225375176238e-12,7,2.0288891346077684e-12,2.0288891346077684e-12,201.6592241630679,354.7997256530547,0.6422268285448023,0.5061337027860979,0.9394904458598726,6.0633128302164145,True,True
2.0,True,True,2.2563964585664564e-12,7,3.12544428348402e-12,3.12544428348402e-12,202.32777462411187,361.25935648087625,0.6443559701404836,0.5153485827116637,0.9522292993630573,6.066374557036187,True,False
