check,observed,expected,passed
risk_set_unique_player,1015.0,1015,True
weights_unique_player,1015.0,1015,True
all_strata_have_both_groups,15.0,15,True
no_forbidden_post_columns_used,0.0,0,True
selected_candidate_exists,1.0,1,True
selected_candidate_passes_gates,1.0,1,True
max_abs_smd,2.0288891346077684e-12,<=0.1,True
max_abs_smd_key,2.0288891346077684e-12,<=0.05,True
treated_ess_fraction,0.6422268285448023,>=0.5,True
control_ess_fraction,0.5061337027860979,>=0.5,True
treated_common_support,0.9394904458598726,>=0.8,True
finite_positive_analysis_weights,1015.0,1015,True
propensity_score_range,1015.0,1015,True
pretrend_uses_pre_only,65.0,65,True
pretrend_primary_present,13.0,>0,True
pretrend_calibration_primary_present,1.0,1,True
pretrend_holdout_primary_present,1.0,1,True
gate_summary_complete,7.0,7,True
